"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	Births
"Total"	"2015"	"2015"	"Iowa"	"19"			39482
	"2015"	"2015"	"Kansas"	"20"	"Female"	"F"	19173
	"2015"	"2015"	"Kansas"	"20"	"Male"	"M"	19981
"Total"	"2015"	"2015"	"Kansas"	"20"			39154
	"2015"	"2015"	"Kentucky"	"21"	"Female"	"F"	27347
	"2015"	"2015"	"Kentucky"	"21"	"Male"	"M"	28624
"Total"	"2015"	"2015"	"Kentucky"	"21"			55971
	"2015"	"2015"	"Louisiana"	"22"	"Female"	"F"	31820
	"2015"	"2015"	"Louisiana"	"22"	"Male"	"M"	32872
"Total"	"2015"	"2015"	"Louisiana"	"22"			64692
	"2015"	"2015"	"Maine"	"23"	"Female"	"F"	6077
	"2015"	"2015"	"Maine"	"23"	"Male"	"M"	6530
"Total"	"2015"	"2015"	"Maine"	"23"			12607
	"2015"	"2015"	"Maryland"	"24"	"Female"	"F"	36035
	"2015"	"2015"	"Maryland"	"24"	"Male"	"M"	37581
"Total"	"2015"	"2015"	"Maryland"	"24"			73616
	"2015"	"2015"	"Massachusetts"	"25"	"Female"	"F"	34770
	"2015"	"2015"	"Massachusetts"	"25"	"Male"	"M"	36722
"Total"	"2015"	"2015"	"Massachusetts"	"25"			71492
	"2015"	"2015"	"Michigan"	"26"	"Female"	"F"	55563
	"2015"	"2015"	"Michigan"	"26"	"Male"	"M"	57749
"Total"	"2015"	"2015"	"Michigan"	"26"			113312
	"2015"	"2015"	"Minnesota"	"27"	"Female"	"F"	33907
	"2015"	"2015"	"Minnesota"	"27"	"Male"	"M"	35927
"Total"	"2015"	"2015"	"Minnesota"	"27"			69834
	"2015"	"2015"	"Mississippi"	"28"	"Female"	"F"	18781
	"2015"	"2015"	"Mississippi"	"28"	"Male"	"M"	19613
"Total"	"2015"	"2015"	"Mississippi"	"28"			38394
	"2015"	"2015"	"Missouri"	"29"	"Female"	"F"	36669
	"2015"	"2015"	"Missouri"	"29"	"Male"	"M"	38392
"Total"	"2015"	"2015"	"Missouri"	"29"			75061
	"2015"	"2015"	"Montana"	"30"	"Female"	"F"	6194
	"2015"	"2015"	"Montana"	"30"	"Male"	"M"	6389
"Total"	"2015"	"2015"	"Montana"	"30"			12583
	"2015"	"2015"	"Nebraska"	"31"	"Female"	"F"	12945
	"2015"	"2015"	"Nebraska"	"31"	"Male"	"M"	13734
"Total"	"2015"	"2015"	"Nebraska"	"31"			26679
	"2015"	"2015"	"Nevada"	"32"	"Female"	"F"	17699
	"2015"	"2015"	"Nevada"	"32"	"Male"	"M"	18599
"Total"	"2015"	"2015"	"Nevada"	"32"			36298
	"2015"	"2015"	"New Hampshire"	"33"	"Female"	"F"	6145
	"2015"	"2015"	"New Hampshire"	"33"	"Male"	"M"	6288
"Total"	"2015"	"2015"	"New Hampshire"	"33"			12433
	"2015"	"2015"	"New Jersey"	"34"	"Female"	"F"	50651
	"2015"	"2015"	"New Jersey"	"34"	"Male"	"M"	52476
"Total"	"2015"	"2015"	"New Jersey"	"34"			103127
	"2015"	"2015"	"New Mexico"	"35"	"Female"	"F"	12647
	"2015"	"2015"	"New Mexico"	"35"	"Male"	"M"	13169
"Total"	"2015"	"2015"	"New Mexico"	"35"			25816
	"2015"	"2015"	"New York"	"36"	"Female"	"F"	115418
	"2015"	"2015"	"New York"	"36"	"Male"	"M"	121856
"Total"	"2015"	"2015"	"New York"	"36"			237274
	"2015"	"2015"	"North Carolina"	"37"	"Female"	"F"	59025
	"2015"	"2015"	"North Carolina"	"37"	"Male"	"M"	61818
"Total"	"2015"	"2015"	"North Carolina"	"37"			120843
	"2015"	"2015"	"North Dakota"	"38"	"Female"	"F"	5508
	"2015"	"2015"	"North Dakota"	"38"	"Male"	"M"	5806
"Total"	"2015"	"2015"	"North Dakota"	"38"			11314
	"2015"	"2015"	"Ohio"	"39"	"Female"	"F"	67978
	"2015"	"2015"	"Ohio"	"39"	"Male"	"M"	71286
"Total"	"2015"	"2015"	"Ohio"	"39"			139264
	"2015"	"2015"	"Oklahoma"	"40"	"Female"	"F"	25841
	"2015"	"2015"	"Oklahoma"	"40"	"Male"	"M"	27281
"Total"	"2015"	"2015"	"Oklahoma"	"40"			53122
	"2015"	"2015"	"Oregon"	"41"	"Female"	"F"	22203
	"2015"	"2015"	"Oregon"	"41"	"Male"	"M"	23452
"Total"	"2015"	"2015"	"Oregon"	"41"			45655
	"2015"	"2015"	"Pennsylvania"	"42"	"Female"	"F"	68965
	"2015"	"2015"	"Pennsylvania"	"42"	"Male"	"M"	72082
"Total"	"2015"	"2015"	"Pennsylvania"	"42"			141047
	"2015"	"2015"	"Rhode Island"	"44"	"Female"	"F"	5389
	"2015"	"2015"	"Rhode Island"	"44"	"Male"	"M"	5604
"Total"	"2015"	"2015"	"Rhode Island"	"44"			10993
	"2015"	"2015"	"South Carolina"	"45"	"Female"	"F"	28544
	"2015"	"2015"	"South Carolina"	"45"	"Male"	"M"	29595
"Total"	"2015"	"2015"	"South Carolina"	"45"			58139
	"2015"	"2015"	"South Dakota"	"46"	"Female"	"F"	5892
	"2015"	"2015"	"South Dakota"	"46"	"Male"	"M"	6444
"Total"	"2015"	"2015"	"South Dakota"	"46"			12336
	"2015"	"2015"	"Tennessee"	"47"	"Female"	"F"	39950
	"2015"	"2015"	"Tennessee"	"47"	"Male"	"M"	41735
"Total"	"2015"	"2015"	"Tennessee"	"47"			81685
	"2015"	"2015"	"Texas"	"48"	"Female"	"F"	197552
	"2015"	"2015"	"Texas"	"48"	"Male"	"M"	206066
"Total"	"2015"	"2015"	"Texas"	"48"			403618
	"2015"	"2015"	"Utah"	"49"	"Female"	"F"	24709
	"2015"	"2015"	"Utah"	"49"	"Male"	"M"	26069
"Total"	"2015"	"2015"	"Utah"	"49"			50778
	"2015"	"2015"	"Vermont"	"50"	"Female"	"F"	2839
	"2015"	"2015"	"Vermont"	"50"	"Male"	"M"	3064
"Total"	"2015"	"2015"	"Vermont"	"50"			5903
	"2015"	"2015"	"Virginia"	"51"	"Female"	"F"	50378
	"2015"	"2015"	"Virginia"	"51"	"Male"	"M"	52925
"Total"	"2015"	"2015"	"Virginia"	"51"			103303
	"2015"	"2015"	"Washington"	"53"	"Female"	"F"	43142
	"2015"	"2015"	"Washington"	"53"	"Male"	"M"	45848
"Total"	"2015"	"2015"	"Washington"	"53"			88990
	"2015"	"2015"	"West Virginia"	"54"	"Female"	"F"	9707
	"2015"	"2015"	"West Virginia"	"54"	"Male"	"M"	10098
"Total"	"2015"	"2015"	"West Virginia"	"54"			19805
	"2015"	"2015"	"Wisconsin"	"55"	"Female"	"F"	32828
	"2015"	"2015"	"Wisconsin"	"55"	"Male"	"M"	34213
"Total"	"2015"	"2015"	"Wisconsin"	"55"			67041
	"2015"	"2015"	"Wyoming"	"56"	"Female"	"F"	3714
	"2015"	"2015"	"Wyoming"	"56"	"Male"	"M"	4051
"Total"	"2015"	"2015"	"Wyoming"	"56"			7765
"Total"	"2015"	"2015"					3978497
"Total"							36499163
"---"
"Dataset: Natality, 2007-2015"
"Query Parameters:"
"Title:"
"Age of Mother 9: All"
"Birthplace: All"
"Birth Weight 12: All"
"Chronic Hypertension: All"
"Delivery Method: All"
"Diabetes: All"
"Eclampsia: All"
"Education: All"
"Gender: Female, Male"
"Hispanic Origin: All"
"Live Birth Order: All"
"LMP Gestational Age 11: All"
"Marital Status: All"
"Medical Attendant: All"
"Month: All"
"Month Prenatal Care Began: All"
"OE Gestational Age 11: All"
"Plurality or Multiple Birth: All"
"Pregnancy-associated Hypertension: All"
"Race: All"
"States: All"
"Tobacco Use: All"
"Weekday: All"
"Year: 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015"
"Group By: Year, State, Gender"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: May 22, 2017 10:58:17 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2007-2015, on CDC"
"WONDER Online Database, February 2017. Accessed at http://wonder.cdc.gov/natality-current.html on May 22, 2017 10:58:17 PM"
"---"
Caveats:
"1. Each birth record represents one living baby."
